"id" "name" "gender"
180 "Anna Maria Lund" 2
181 "Anna Sophie Eleonor Øhlander" 2
182 "Anna Synnøve Bye" 2
183 "Anna Veronica Janzon" 2
184 "Anna Yvonne Monica Malm Bernsten" 2
185 "Anne-Christene Joys" 2
186 "Anne-Gro Gulla" 2
187 "Anne-Gro Vonlanthen" 2
188 "Anne-Karin Fosen Bjerkestrand" 2
189 "Anne-Lene Midseim" 2
190 "Anne-Lise Aspengren" 2
191 "Anne-Lise Aukner" 2
192 "Anne-Lise Hedda Løfsgaard" 2
193 "Anne-Lise Mørch von Der Fehr" 2
194 "Anne-Lise Strand" 2
195 "Anne-Marie Brenaas" 2
196 "Anne-Marie Erdal" 2
197 "Anne Barbro Nygård" 2
198 "Anne Beate Ellevog" 2
199 "Anne Berit Nordhaug" 2
200 "Anne Berit Sandnes" 2
201 "Anne Berit Tryggestad" 2
202 "Anne Birgitte Fossum" 2
203 "Anne Birgitte Lundholt" 2
204 "Anne Breiby" 2
205 "Anne Breive" 2
206 "Anne Brit Enge" 2
207 "Anne Brit Liseth" 2
208 "Anne Brit Sandberg" 2
209 "Anne Britt Bekken" 2
210 "Anne Carine Smith" 2
211 "Anne Carine Tanum" 2
212 "Anne Cathrine Dolva Essebaggers" 2
213 "Anne Cathrine Fodstad" 2
214 "Anne Cathrine Magelssen" 2
215 "Anne Catrine Kleive-Mathisen" 2
216 "Anne Cecilie Fagerlie" 2
217 "Anne Cecilie Underthun Marstein" 2
218 "Anne Dæhlie" 2
219 "Anne Drinkwater" 2
220 "Anne Eriksdatter Bjørnebye Vik" 2
221 "Anne Eva Catharina Nystedt Ringborg" 2
222 "Anne Fredriksen" 2
223 "Anne Gaathaug" 2
224 "Anne Gine Hestetun" 2
225 "Anne Gisken Moe Winther" 2
226 "Anne Grete Ellingsen" 2
227 "Anne Grethe Dalane" 2
228 "Anne Grethe Hage" 2
229 "Anne Grethe Wichstrøm" 2
230 "Anne Gro Sundby" 2
231 "Anne Gyland Lie" 2
232 "Anne Helene Tryti" 2
233 "Anne Helga Seltveit" 2
234 "Anne Hjelle" 2
235 "Anne Hovi Worsøe" 2
236 "Anne Johanne Botterud" 2
237 "Anne Johnsrud Hagen" 2
238 "Anne Jorun Aas" 2
239 "Anne Karin Gjerulfsen Bedringås" 2
240 "Anne Karin Kvam" 2
241 "Anne Karine Stenshorne" 2
242 "Anne Kathrine Høeg Rasmussen" 2
243 "Anne Kathrine Slungård" 2
244 "Anne Kjølseth" 2
245 "Anne Kristin Kvam Tønseth" 2
246 "Anne Kristin Wadahl" 2
247 "Anne Kristine Baltzersen" 2
248 "Anne Kverneland Bogsnes" 2
249 "Anne Lise Meyer" 2
250 "Anne Margrete Gromsrud" 2
251 "Anne Margrethe Horst Lund" 2
252 "Anne Margrethe Sødahl Wessel" 2
253 "Anne Marie Cannon" 2
254 "Anne Marit Steen" 2
255 "Anne Mette Hoel" 2
256 "Anne Mürer" 2
257 "Anne Nerbøvik" 2
258 "Anne Øian" 2
259 "Anne Ombye" 2
260 "Anne Paula Ekeren Bjone" 2
261 "Anne Sætrang Holm" 2
262 "Anne Sauro Hellsten" 2
263 "Anne Skranefjell" 2
264 "Anne Sofie Bjørkholt" 2
265 "Anne Sofie Myrmel Bruun-Olsen" 2
266 "Anne Sofie Nilsen" 2
267 "Anne Sofie Utne" 2
268 "Anne Solveig Olstad" 2
269 "Anne Strøm Nakstad" 2
270 "Anne Toril Kasin" 2
271 "Anne Valen Stärk-Johansen" 2
272 "Anne Young Syrrist" 2
273 "Annelin Aas Henriksen" 2
274 "Annelise Kleven Godø" 2
275 "Annette Aubert Gilje" 2
276 "Annette Beate Wacknitz Malm Justad" 2
277 "Annette Clancy" 2
278 "Annette M Mc Evoy" 2
279 "Annette Maria Brodin Rampe" 2
280 "Annette Marianne Berkhahn" 2
281 "Annette Nora Thorvik Pettersen" 2
282 "Annette Ommundsen" 2
283 "Annfrid Eli Standal" 2
284 "Annica Gudrun Yvonne Hglund" 2
285 "Annichen Fische" 2
286 "Annika Billström" 2
287 "Annika Birgitta Sten Pärson" 2
288 "Annika Elisabeth Lindblom" 2
289 "Annika Lunndius" 2
290 "Annika Marie Lundius" 2
291 "Anniken Merete Jermstad" 2
292 "Anthony Paul Brennan" 1
293 "Anthony Philip Morris" 1
294 "Anthony Tripodo" 1
295 "Anthony William Brierley" 1
296 "Anton Edvard Evjen" 1
297 "Anton Ernst Tronstad" 1
298 "Anton Kvithyll" 1
299 "Anton Raymond Abrahamsen" 1
300 "Antti Mikael Auno" 1
301 "Antti Samuli Oksanen" 1
302 "Are Andersen" 1
303 "Are Eldar Kristiansen" 1
304 "Are Langmoen" 1
305 "Are Pettersen" 1
306 "Are Remseth Gløersen" 1
307 "Are Skindlo" 1
308 "Ari Antero Kaperi" 1
309 "Ari Jay Benacerraf" 1
310 "Ari Juhani Martonen" 1
311 "Ariane Stiebitz" 2
312 "Aril Resen" 1
313 "Arild Abel Engh" 1
314 "Arild Eriksen" 1
315 "Arild Fredriksen" 1
316 "Arild Frøseth" 1
317 "Arild Gjerde" 1
318 "Arild Hallvar Hassel" 1
319 "Arild Håvik" 1
320 "Arild Inge Aubert" 1
321 "Arild Ingierd" 1
322 "Arild Jacobsen" 1
323 "Arild Jæger" 1
324 "Arild Magne Hagen" 1
325 "Arild Mathisen" 1
326 "Arild Nilsen" 1
327 "Arild Peder Aarseth" 1
328 "Arild Robert Grønbech" 1
329 "Arild Sletta" 1
330 "Arild Stalheim" 1
331 "Arild Steen Birkelund" 1
332 "Arild Steinsland" 1
333 "Arild Sundberg" 1
334 "Arild Thoresen" 1
335 "Arild Tolfsen" 1
336 "Arild Ulmo" 1
337 "Arild Warland" 1
338 "Armin Theodor Papperger" 1
339 "Arna Kristine Gjerland" 2
340 "Arne Aarnes" 1
341 "Arne Austreid" 1
342 "Arne Berg" 1
343 "Arne Berger" 1
344 "Arne Bergh" 1
345 "Arne Birkeland" 1
346 "Arne Blikstad Sperre" 1
347 "Arne Blystad" 1
348 "Arne Boye Hansen" 1
349 "Arne Braathen Thyholdt" 1
350 "Arne Brynjulv Ramstad" 1
351 "Arne Che Sveen" 1
352 "Arne Dalslaaen" 1
353 "Arne Giske" 1
354 "Arne Græe" 1
355 "Arne Grip" 1
356 "Arne Guttorm Tande" 1
357 "Arne Handeland" 1
358 "Arne Hansteen" 1
359 "Arne Haugseth" 1
360 "Arne Hjeltnes" 1
361 "Arne Hygen Tørnkvist" 1
362 "Arne Incoronato" 1
363 "Arne Jan Eggan" 1
364 "Arne Kaardal" 1
365 "Arne Kåre Nore" 1
366 "Arne Karl Martin Lillandt" 1
367 "Arne Kervel" 1
368 "Arne Kjell Raustøl" 1
369 "Arne Kjell Skeie" 1
370 "Arne Kjensmo" 1
371 "Arne Knoph" 1
372 "Arne Kristian Mæland" 1
373 "Arne Kristian Wilhelmsen" 1
374 "Arne Kristoffer Vindenæs" 1
375 "Arne Loen" 1
376 "Arne Magne Kolberg" 1
377 "Arne Magnus Rise" 1
378 "Arne Marius Westbye" 1
379 "Arne Martinus Johansen" 1
380 "Arne Mjøs" 1
381 "Arne Møgster" 1
382 "Arne Nicander" 1
383 "Arne Norheim" 1
384 "Arne Nyhaug" 1
385 "Arne Øfsthus" 1
386 "Arne Økland" 1
387 "Arne Otto Rogne" 1
388 "Arne Peder Hansen" 1
389 "Arne Rødø" 1
390 "Arne Røthe" 1
391 "Arne Smedal" 1
392 "Arne Sodefjed" 1
393 "Arne Solberg" 1
394 "Arne Solheim" 1
395 "Arne Stang" 1
396 "Arne Thorolf Wiese Tønjum" 1
397 "Arne Torbjørn Paulsen" 1
398 "Arne Wendelbo Aanensen" 1
399 "Arne Wenger" 1
400 "Arne Wøien" 1
401 "Arnfinn Eirik Thomassen" 1
402 "Arnfinn Hansen" 1
403 "Arnfinn Stensø" 1
404 "Arnfinn Torgnes" 1
405 "Arnfinn Vognild" 1
406 "Arnhild Dyrhaug Odfjell" 2
407 "Arnhild Schia" 2
408 "Arnold Johansen" 1
409 "Arnold Rørholt" 1
410 "Arnor Petter Laumann" 1
411 "Arnstein Edgard Johannessen" 1
412 "Arnstein Gunnestad Endresen" 1
413 "Arnstein Olav Wigestrand" 1
414 "Arnstein Øvsthus" 1
415 "Arnt Harald Jerpstad" 1
416 "Arnt Holger Sollie" 1
417 "Arnt Marelius Winther" 1
418 "Arnt Ree" 1
419 "Arnulf Bergum" 1
420 "Arnulv Haukeland" 1
421 "Arpad Vilmos Jozef Krizsan" 1
422 "Arthur Duus" 1
423 "Arthur Leon George Jr" 1
424 "Arthur Sletteberg" 1
425 "Artur Rastrogin" 1
426 "Arve-Olav Solumsmo" 1
427 "Arve Andersson" 1
428 "Arve Dahl Nielsen" 1
429 "Arve Føyen" 1
430 "Arve Giske" 1
431 "Arve Haug" 1
432 "Arve Håvard Stengelsrud" 1
433 "Arve Jakobsen" 1
434 "Arve Johansen" 1
435 "Arve Johnsen" 1
436 "Arve Kenneth Vestvik" 1
437 "Arve Michael Haugland" 1
438 "Arve Rørholt" 1
439 "Arve Slenes" 1
440 "Arve Smogeli Zahl" 1
441 "Arve Ståle Myklebust" 1
442 "Arve Toft" 1
443 "Arve Vange" 1
444 "Arvid Andenæs" 1
445 "Arvid Axberg" 1
446 "Arvid Birger Smith" 1
447 "Arvid Fristad" 1
448 "Arvid Frode Strand" 1
449 "Arvid Grundekjøn" 1
450 "Arvid Kristiansen" 1
451 "Arvid Lie" 1
452 "Arvid Melvin Thompsen" 1
453 "Arvid Moss" 1
454 "Arvid Sjølyst" 1
455 "Arvid Sveen" 1
456 "Arvid Trobe" 1
457 "Arvid Vestvik" 1
458 "Åsa Gunilla Grübb Weinberg" 2
459 "Åsa Helena Kristina Mossberg" 2
460 "Åsa Helena Otterlund" 2
461 "Asa Matti Lyytinen" 1
462 "Asbjørn Fredrik Larsen" 1
463 "Asbjørn Inge Skotte" 1
464 "Asbjørn Magne Blakstad" 1
465 "Asbjørn Michailoff Pettersen" 1
466 "Asbjørn Oddvar Moen" 1
467 "Asbjørn Raunholm" 1
468 "Asbjørn Reinkind" 1
469 "Asbjørn Resell Søvik" 1
470 "Asbjørn Rønne" 1
471 "Asbjørn Sie" 1
472 "Åse Aulie Michelet" 2
473 "Åse Karin Tennebekk" 2
474 "Åse Koll Lunde" 2
475 "Åse Lise Chatwin Olsen" 2
476 "Åse Marie Nilsen" 2
477 "Åse Simonsen" 2
478 "Asgeir Grøneng Hartveit" 1
479 "Åsgeir Nord" 1
480 "Asgeir Stensrud" 1
481 "Åshild Marianne Bendiktsen" 2
482 "Åshild Merete Andreassen" 2
483 "Åshild Ørbech Tangen" 2
484 "Aslak Bestul" 1
485 "Aslaug Olden Mala" 2
486 "Aslaug Stenseth" 2
487 "Åsmund Botnen" 1
488 "Åsmund Dybedahl" 1
489 "Åsmund Knutsen" 1
490 "Åsmund Olav Løset" 1
491 "Åsmund Pålerud" 1
492 "Åsmund Paulsen" 1
493 "Åsmund Reidar Sløgedal" 1
494 "Åsmund Simonsen" 1
495 "Åsmund Skår" 1
496 "Åsne Cornelia Moseid" 2
497 "Åste Victoria Hvistendahl" 2
498 "Astri Karin Bjørnevik" 2
499 "Astrid Cathrine Løken Øyehaug" 2
500 "Astrid Evenseth Sørgaard" 2
501 "Astrid Karin Svenheim" 2
502 "Astrid Kårstad" 2
503 "Astrid Kløve-Graue" 2
504 "Astrid Koppernæs" 2
505 "Astrid Madsen" 2
506 "Astrid Moe Eikrem" 2
507 "Astrid Rangnes Bråten" 2
508 "Astrid Rebekka Norheim" 2
509 "Astrid Rosseland" 2
510 "Astrid Skrautvol Nybråten" 2
