wounds degree_cent betweenness_cent closeness_cent clustering_coef
10 -0.208967831847146 -0.586350562999566 -0.370368185630212 0.267846880382912
3 -0.496298600636972 -0.752583265855603 -0.370368185630212 1.22603998116144
0 -1.07096013821662 -0.885983814552155 -1.41938070739433 1.81786513164229
16 1.80234754968164 2.50255239953645 1.78385395727824 -0.642653351126092
2 1.22768601210198 0.293833497678242 1.23811768107476 0.114126062076197
2 -0.496298600636972 -0.526287301784085 -0.525030288197999 0.436939780520299
1 -1.35829090700645 -0.834003365213662 -1.30865160787478 -1.14126062076198
1 -0.208967831847146 -0.277556101365659 -0.0352669634000085 -0.0139746198460648
24 1.80234754968164 1.65886621896797 1.78385395727824 -0.512581889481948
9 0.940355243312157 1.29884680769726 0.760598439396724 -0.531501374812006
5 0.0783629369426797 -0.70957359927636 0.146645128667816 0.901945255898113
2 0.0783629369426797 1.6651379014231 -0.0352669634000085 -0.366251495132287
1 -0.783629369426798 -0.824599981255363 -0.671959285637395 1.02876493100115
1 0.940355243312157 0.460298025100277 0.543544238633979 -0.531501374812006
0 -1.9329524445861 -0.902377123147737 -2.30916811424782 -3.11401112236482
2 -0.208967831847146 -0.484935594824168 0.146645128667816 0.267846880382912
7 0.365693705732506 0.272044058336614 0.339257932033748 -0.154885369960554
0 -0.208967831847146 -0.767769844790678 -0.0352669634000085 0.831489880840868
1 0.940355243312157 0.465069057463006 0.991656136982872 -0.208687656367904
4 -1.07096013821662 -0.821435161957049 -0.671959285637395 0.831489880840868
7 0.653024474522332 0.455361403761835 0.543544238633979 -0.352160420120838
7 -0.783629369426798 -0.698553652942663 -0.525030288197999 -0.154885369960554
