wounds degree_cent betweenness_cent closeness_cent clustering_coef
14 0.117652099225748 -0.411633594786571 0.0523613164607053 0.0924444171049287
5 0.894155954115685 0.642917727900974 0.81188114671097 -0.890221784677456
1 -0.141182519070898 -0.284079892894484 -0.169165300695622 -0.289703550254888
32 1.92949442730227 2.33594055278958 2.11994307658643 -1.3432982019528
3 0.894155954115685 -0.0606411396234034 0.81188114671097 -0.0768107982522383
3 -1.17652099225748 -0.876756371055858 -1.25347979519765 1.53796064146597
2 -0.917686373960835 -0.72880965851089 -0.932201426456305 0.284705195714526
8 -0.400017137367543 -0.319995691517221 -0.377266062266717 -0.563853179013016
27 1.92949442730227 2.78551087087123 2.11994307658643 -1.23578854361627
17 0.894155954115685 0.875175714131221 0.81188114671097 -0.890221784677456
5 -0.400017137367543 -0.706358396137494 -0.377266062266717 0.806894964777629
3 0.117652099225748 0.0830172693485496 0.0523613164607053 -0.65523638859906
1 -0.400017137367543 -0.511660512857278 -0.573125602568925 0.578436940812521
3 0.894155954115685 0.43330768887489 0.81188114671097 -0.438326792219002
0 -1.69419022885077 -0.932802933890452 -1.67662691500331 2.63455915649849
6 -0.141182519070898 -0.282961995656836 -0.169165300695622 0.258595707261371
7 -0.400017137367543 -0.524868066736493 -0.377266062266717 -0.106937131082802
0 -0.917686373960835 -0.841787148090684 -0.757793169139578 1.06798984930918
4 0.63532133581904 0.352496543783856 0.541247643978118 -0.634147955617665
6 -0.917686373960835 -0.84828827564781 -0.757793169139578 1.06798984930918
16 0.63532133581904 0.685620828116845 0.541247643978118 -1.37224310996647
8 -1.43535561055413 -0.863343518411681 -1.25347979519765 0.167212497675327
