wounds degree_cent betweenness_cent closeness_cent clustering_coef
3 0.641034630478325 1.21325169949912 0.563191556899347 0.0469491589023537
1 0.934842169447557 0.888766408950637 0.509053113438807 0.0132682405593608
0 -1.4156181423063 -0.834282644417265 -2.9197149723954 -1.30028757481736
16 0.934842169447557 0.596557283695746 0.618773692185502 0.0132682405593608
0 1.52245724738602 0.538247884461343 0.794783787258324 0.271488614522306
0 -0.828003064367837 -0.834282644417265 -0.0457138577523454 1.52890956599404
0 -0.534195525398604 -0.834282644417265 0.0784636328921858 1.52890956599404
5 -0.240387986429372 -0.275887117862852 0.121804011979885 -0.357221861213561
1 1.52245724738602 1.69950668597694 0.734506357438864 -0.0428666233456274
5 1.22864970841679 1.94641777397511 0.734506357438864 -0.0428666233456274
0 -0.240387986429372 -0.785726511673403 0.211617809607406 1.05737670919214
0 -0.534195525398604 -0.834282644417265 0.0784636328921858 1.52890956599404
0 0.641034630478325 -0.220856834086475 0.354758549576268 0.316396505646296
0 0.934842169447557 1.28335330239989 0.675858047344254 0.215353750617318
0 -0.534195525398604 -0.834282644417265 0.0784636328921858 1.52890956599404
3 0.641034630478325 -0.229716751814414 0.404888007033717 0.181672832274325
0 -1.4156181423063 -0.834282644417265 -2.9197149723954 -1.30028757481736
0 -1.12181060333707 -0.834282644417265 -0.16179281639832 -1.30028757481736
2 -1.12181060333707 -0.834282644417265 -0.23506251369968 -1.30028757481736
2 -1.12181060333707 -0.834282644417265 -0.23506251369968 -1.30028757481736
7 0.934842169447557 1.50994858853791 0.563191556899347 0.0132682405593608
1 -0.828003064367837 -0.655318612304174 -0.00526209943632366 -1.30028757481736
