gender postcode city female male
1 NA NA NA 1
1 NA NA NA 1
1 NA NA NA 1
1 NA NA NA 1
2 NA NA 1 NA
1 NA NA NA 1
1 NA NA NA 1
1 NA NA NA 1
2 NA NA 1 NA
1 NA NA NA 1
1 NA NA NA 1
1 NA NA NA 1
1 NA NA NA 1
2 NA NA 1 NA
1 NA NA NA 1
1 NA NA NA 1
2 NA NA 1 NA
1 NA NA NA 1
2 NA NA 1 NA
1 NA NA NA 1
2 NA NA 1 NA
1 NA NA NA 1
2 NA NA 1 NA
1 NA NA NA 1
1 NA NA NA 1
2 NA NA 1 NA
2 NA NA 1 NA
2 NA NA 1 NA
1 NA NA NA 1
1 NA NA NA 1
2 NA NA 1 NA
1 NA NA NA 1
1 NA NA NA 1
1 NA NA NA 1
1 NA NA NA 1
1 NA NA NA 1
1 NA NA NA 1
2 NA NA 1 NA
1 NA NA NA 1
2 NA NA 1 NA
2 NA NA 1 NA
2 NA NA 1 NA
1 NA NA NA 1
1 NA NA NA 1
1 NA NA NA 1
2 NA NA 1 NA
1 NA NA NA 1
1 NA NA NA 1
2 NA NA 1 NA
1 NA NA NA 1
1 NA NA NA 1
2 NA NA 1 NA
1 NA NA NA 1
2 NA NA 1 NA
1 NA NA NA 1
2 NA NA 1 NA
1 NA NA NA 1
1 NA NA NA 1
2 NA NA 1 NA
1 NA NA NA 1
1 NA NA NA 1
1 NA NA NA 1
2 NA NA 1 NA
2 NA NA 1 NA
1 NA NA NA 1
1 NA NA NA 1
2 NA NA 1 NA
1 NA NA NA 1
1 NA NA NA 1
1 NA NA NA 1
1 NA NA NA 1
2 NA NA 1 NA
2 NA NA 1 NA
2 NA NA 1 NA
2 NA NA 1 NA
1 NA NA NA 1
1 NA NA NA 1
2 NA NA 1 NA
2 NA NA 1 NA
1 NA NA NA 1
1 NA NA NA 1
1 NA NA NA 1
1 NA NA NA 1
1 NA NA NA 1
1 NA NA NA 1
1 NA NA NA 1
2 NA NA 1 NA
1 NA NA NA 1
1 NA NA NA 1
2 NA NA 1 NA
1 NA NA NA 1
1 NA NA NA 1
1 NA NA NA 1
2 NA NA 1 NA
1 NA NA NA 1
1 NA NA NA 1
1 NA NA NA 1
2 NA NA 1 NA
2 NA NA 1 NA
1 NA NA NA 1
2 NA NA 1 NA
1 NA NA NA 1
1 NA NA NA 1
1 NA NA NA 1
1 NA NA NA 1
1 NA NA NA 1
2 NA NA 1 NA
2 NA NA 1 NA
1 NA NA NA 1
1 NA NA NA 1
2 NA NA 1 NA
1 NA NA NA 1
1 NA NA NA 1
1 NA NA NA 1
2 NA NA 1 NA
2 NA NA 1 NA
1 NA NA NA 1
1 NA NA NA 1
1 NA NA NA 1
2 NA NA 1 NA
1 NA NA NA 1
1 NA NA NA 1
1 NA NA NA 1
1 NA NA NA 1
1 NA NA NA 1
2 NA NA 1 NA
2 NA NA 1 NA
1 NA NA NA 1
1 NA NA NA 1
2 NA NA 1 NA
1 NA NA NA 1
1 NA NA NA 1
1 NA NA NA 1
2 NA NA 1 NA
1 NA NA NA 1
1 NA NA NA 1
1 NA NA NA 1
2 NA NA 1 NA
1 NA NA NA 1
2 NA NA 1 NA
2 NA NA 1 NA
1 NA NA NA 1
1 NA NA NA 1
2 NA NA 1 NA
2 NA NA 1 NA
1 NA NA NA 1
1 NA NA NA 1
2 NA NA 1 NA
1 NA NA NA 1
1 NA NA NA 1
1 NA NA NA 1
1 NA NA NA 1
1 NA NA NA 1
2 NA NA 1 NA
1 NA NA NA 1
1 NA NA NA 1
2 NA NA 1 NA
2 NA NA 1 NA
1 NA NA NA 1
1 NA NA NA 1
1 NA NA NA 1
2 NA NA 1 NA
2 NA NA 1 NA
2 NA NA 1 NA
2 NA NA 1 NA
2 NA NA 1 NA
2 NA NA 1 NA
1 NA NA NA 1
1 NA NA NA 1
2 NA NA 1 NA
1 NA NA NA 1
2 NA NA 1 NA
1 NA NA NA 1
1 NA NA NA 1
2 NA NA 1 NA
1 NA NA NA 1
1 NA NA NA 1
1 NA NA NA 1
2 NA NA 1 NA
1 NA NA NA 1
1 NA NA NA 1
2 NA NA 1 NA
2 NA NA 1 NA
1 NA NA NA 1
1 NA NA NA 1
2 NA NA 1 NA
1 NA NA NA 1
2 NA NA 1 NA
1 NA NA NA 1
2 NA NA 1 NA
1 NA NA NA 1
1 NA NA NA 1
2 NA NA 1 NA
2 NA NA 1 NA
2 NA NA 1 NA
1 NA NA NA 1
1 NA NA NA 1
2 NA NA 1 NA
1 NA NA NA 1
2 NA NA 1 NA
1 NA NA NA 1
1 NA NA NA 1
2 NA NA 1 NA
1 NA NA NA 1
2 NA NA 1 NA
1 NA NA NA 1
2 NA NA 1 NA
1 NA NA NA 1
1 NA NA NA 1
1 NA NA NA 1
1 NA NA NA 1
2 NA NA 1 NA
1 NA NA NA 1
1 NA NA NA 1
1 NA NA NA 1
2 NA NA 1 NA
1 NA NA NA 1
1 NA NA NA 1
2 NA NA 1 NA
2 NA NA 1 NA
2 NA NA 1 NA
1 NA NA NA 1
2 NA NA 1 NA
1 NA NA NA 1
1 NA NA NA 1
1 NA NA NA 1
1 NA NA NA 1
2 NA NA 1 NA
1 NA NA NA 1
1 NA NA NA 1
1 NA NA NA 1
1 NA NA NA 1
2 NA NA 1 NA
1 NA NA NA 1
1 NA NA NA 1
2 NA NA 1 NA
2 NA NA 1 NA
1 NA NA NA 1
1 NA NA NA 1
2 NA NA 1 NA
1 NA NA NA 1
1 NA NA NA 1
1 NA NA NA 1
1 NA NA NA 1
2 NA NA 1 NA
2 NA NA 1 NA
2 NA NA 1 NA
2 NA NA 1 NA
1 NA NA NA 1
1 NA NA NA 1
1 NA NA NA 1
1 NA NA NA 1
2 NA NA 1 NA
1 NA NA NA 1
2 NA NA 1 NA
1 NA NA NA 1
1 NA NA NA 1
2 NA NA 1 NA
1 NA NA NA 1
2 NA NA 1 NA
1 NA NA NA 1
2 NA NA 1 NA
2 NA NA 1 NA
1 NA NA NA 1
1 NA NA NA 1
2 NA NA 1 NA
1 NA NA NA 1
1 NA NA NA 1
NA 65 57 NA NA
NA 49 57 NA NA
NA 29 57 NA NA
NA 36 57 NA NA
NA 36 57 NA NA
NA 29 57 NA NA
NA 31 57 NA NA
NA 31 57 NA NA
NA 117 68 NA NA
NA 117 68 NA NA
NA 117 68 NA NA
NA 58 57 NA NA
NA 152 70 NA NA
NA 31 57 NA NA
NA 31 57 NA NA
NA 31 57 NA NA
NA 43 57 NA NA
NA 120 68 NA NA
NA 115 68 NA NA
NA 43 57 NA NA
NA 13 57 NA NA
NA 31 57 NA NA
NA 79 16 NA NA
NA 62 57 NA NA
NA 191 76 NA NA
NA 128 10 NA NA
NA 17 57 NA NA
NA 31 57 NA NA
NA 69 57 NA NA
NA 179 77 NA NA
NA 116 68 NA NA
NA 108 43 NA NA
NA 31 57 NA NA
NA 84 6 NA NA
NA 105 61 NA NA
NA 20 57 NA NA
NA 31 57 NA NA
NA 135 18 NA NA
NA 80 47 NA NA
NA 84 6 NA NA
NA 65 57 NA NA
NA 153 69 NA NA
NA 44 57 NA NA
NA 69 57 NA NA
NA 119 68 NA NA
NA 10 57 NA NA
NA 145 5 NA NA
NA 45 57 NA NA
NA 153 69 NA NA
NA 191 76 NA NA
NA 21 57 NA NA
NA 123 73 NA NA
NA 43 57 NA NA
NA 171 77 NA NA
NA 15 57 NA NA
NA 111 66 NA NA
NA 111 66 NA NA
NA 56 57 NA NA
NA 88 65 NA NA
NA 31 57 NA NA
NA 38 57 NA NA
NA 134 79 NA NA
NA 81 3 NA NA
NA 33 57 NA NA
NA 34 57 NA NA
NA 4 57 NA NA
NA 19 57 NA NA
NA 116 68 NA NA
NA 137 2 NA NA
NA 60 57 NA NA
NA 59 57 NA NA
NA 14 57 NA NA
NA 12 57 NA NA
NA 92 46 NA NA
NA 37 57 NA NA
NA 103 61 NA NA
NA 25 57 NA NA
NA 184 56 NA NA
NA 31 57 NA NA
NA 90 8 NA NA
NA 125 74 NA NA
NA 81 3 NA NA
NA 120 68 NA NA
NA 120 68 NA NA
NA 4 57 NA NA
NA 129 33 NA NA
NA 71 21 NA NA
NA 172 77 NA NA
NA 64 57 NA NA
NA 183 7 NA NA
NA 31 57 NA NA
NA 31 57 NA NA
NA 172 77 NA NA
NA 32 57 NA NA
NA 143 5 NA NA
NA 31 57 NA NA
NA 153 69 NA NA
NA 153 69 NA NA
NA 67 57 NA NA
NA 166 48 NA NA
NA 60 57 NA NA
NA 42 57 NA NA
NA 154 4 NA NA
NA 20 57 NA NA
NA 33 57 NA NA
NA 77 24 NA NA
NA 162 30 NA NA
NA 31 57 NA NA
NA 174 77 NA NA
NA 99 11 NA NA
NA 131 13 NA NA
NA 91 60 NA NA
NA 170 77 NA NA
NA 157 1 NA NA
NA 85 54 NA NA
NA 14 57 NA NA
NA 14 57 NA NA
NA 20 57 NA NA
NA 172 77 NA NA
NA 146 5 NA NA
NA 185 45 NA NA
NA 189 9 NA NA
NA 20 57 NA NA
NA 10 57 NA NA
NA 170 77 NA NA
NA 15 57 NA NA
NA 15 57 NA NA
NA 89 37 NA NA
NA 149 58 NA NA
NA 15 57 NA NA
NA 144 5 NA NA
NA 168 15 NA NA
NA 45 57 NA NA
NA 165 51 NA NA
NA 19 57 NA NA
NA 44 57 NA NA
NA 70 57 NA NA
NA 148 55 NA NA
NA 104 61 NA NA
NA 18 57 NA NA
NA 113 42 NA NA
NA 139 5 NA NA
NA 107 61 NA NA
NA 21 57 NA NA
NA 37 57 NA NA
NA 30 57 NA NA
NA 161 14 NA NA
NA 161 14 NA NA
NA 157 1 NA NA
NA 163 71 NA NA
NA 187 53 NA NA
NA 107 61 NA NA
NA 96 36 NA NA
NA 74 16 NA NA
NA 43 57 NA NA
NA 19 57 NA NA
NA 124 68 NA NA
NA 66 57 NA NA
NA 25 57 NA NA
NA 19 57 NA NA
NA 80 47 NA NA
NA 31 57 NA NA
NA 39 57 NA NA
NA 175 77 NA NA
NA 68 57 NA NA
NA 47 57 NA NA
NA 84 6 NA NA
NA 35 57 NA NA
NA 107 61 NA NA
NA 109 35 NA NA
NA 110 35 NA NA
NA 44 57 NA NA
NA 130 40 NA NA
NA 22 57 NA NA
NA 138 5 NA NA
NA 43 57 NA NA
NA 48 57 NA NA
NA 121 68 NA NA
NA 142 5 NA NA
NA 20 57 NA NA
NA 137 2 NA NA
NA 45 57 NA NA
NA 57 57 NA NA
NA 143 5 NA NA
NA 53 57 NA NA
NA 98 50 NA NA
NA 180 52 NA NA
NA 80 47 NA NA
NA 119 68 NA NA
NA 80 47 NA NA
NA 137 2 NA NA
NA 80 47 NA NA
NA 36 57 NA NA
NA 57 57 NA NA
NA 26 57 NA NA
NA 26 57 NA NA
NA 107 61 NA NA
NA 63 57 NA NA
NA 107 61 NA NA
NA 80 47 NA NA
NA 80 47 NA NA
NA 50 57 NA NA
NA 69 57 NA NA
NA 78 21 NA NA
NA 31 57 NA NA
NA 31 57 NA NA
NA 87 20 NA NA
NA 52 57 NA NA
NA 176 77 NA NA
NA 3 57 NA NA
NA 182 7 NA NA
NA 44 57 NA NA
NA 80 47 NA NA
NA 80 47 NA NA
NA 45 57 NA NA
NA 20 57 NA NA
NA 73 47 NA NA
NA 16 57 NA NA
NA 167 48 NA NA
NA 74 16 NA NA
NA 116 68 NA NA
NA 26 57 NA NA
NA 31 57 NA NA
NA 19 57 NA NA
NA 20 57 NA NA
NA 20 57 NA NA
NA 193 39 NA NA
NA 19 57 NA NA
NA 150 58 NA NA
NA 158 28 NA NA
NA 2 57 NA NA
NA 24 57 NA NA
NA 123 73 NA NA
NA 142 5 NA NA
NA 44 57 NA NA
NA 186 63 NA NA
NA 15 57 NA NA
NA 15 57 NA NA
NA 1 57 NA NA
NA 18 57 NA NA
NA 31 57 NA NA
NA 31 57 NA NA
NA 7 57 NA NA
NA 31 57 NA NA
NA 7 57 NA NA
NA 31 57 NA NA
NA 54 57 NA NA
NA 8 57 NA NA
NA 80 47 NA NA
NA 8 57 NA NA
NA 8 57 NA NA
NA 54 57 NA NA
NA 95 36 NA NA
NA 177 26 NA NA
NA 106 61 NA NA
NA 138 5 NA NA
NA 173 77 NA NA
NA 191 76 NA NA
NA 19 57 NA NA
NA 80 47 NA NA
NA 36 57 NA NA
NA 93 59 NA NA
NA 175 77 NA NA
NA 94 32 NA NA
NA 83 29 NA NA
NA 160 17 NA NA
NA 119 68 NA NA
NA 76 64 NA NA
NA 99 11 NA NA
NA 80 47 NA NA
NA 39 57 NA NA
NA 133 38 NA NA
NA 141 5 NA NA
NA 31 57 NA NA
NA 6 57 NA NA
NA 121 68 NA NA
NA 9 57 NA NA
NA 100 11 NA NA
NA 121 68 NA NA
NA 19 57 NA NA
NA 178 41 NA NA
NA 116 68 NA NA
NA 169 22 NA NA
NA 75 16 NA NA
NA 5 57 NA NA
NA 155 25 NA NA
NA 36 57 NA NA
NA 11 57 NA NA
NA 33 57 NA NA
NA 11 57 NA NA
NA 11 57 NA NA
NA 33 57 NA NA
NA 33 57 NA NA
NA 136 2 NA NA
NA 136 2 NA NA
NA 97 23 NA NA
NA 102 12 NA NA
NA 101 72 NA NA
NA 61 57 NA NA
NA 35 57 NA NA
NA 181 44 NA NA
NA 132 38 NA NA
NA 112 66 NA NA
NA 143 5 NA NA
NA 126 67 NA NA
NA 116 68 NA NA
NA 20 57 NA NA
NA 17 57 NA NA
NA 191 76 NA NA
NA 44 57 NA NA
NA 194 31 NA NA
NA 114 68 NA NA
NA 127 62 NA NA
NA 127 62 NA NA
NA 127 62 NA NA
NA 44 57 NA NA
NA 122 68 NA NA
NA 122 68 NA NA
NA 41 57 NA NA
NA 7 57 NA NA
NA 33 57 NA NA
NA 31 57 NA NA
NA 31 57 NA NA
NA 7 57 NA NA
NA 31 57 NA NA
NA 163 71 NA NA
NA 151 34 NA NA
NA 86 75 NA NA
NA 80 47 NA NA
NA 192 76 NA NA
NA 80 47 NA NA
NA 84 6 NA NA
NA 75 16 NA NA
NA 31 57 NA NA
NA 188 27 NA NA
NA 46 57 NA NA
NA 81 3 NA NA
NA 36 57 NA NA
NA 140 5 NA NA
NA 82 3 NA NA
NA 190 9 NA NA
NA 28 57 NA NA
NA 147 19 NA NA
NA 159 78 NA NA
NA 72 47 NA NA
NA 44 57 NA NA
NA 57 57 NA NA
NA 117 68 NA NA
NA 44 57 NA NA
NA 23 57 NA NA
NA 27 57 NA NA
NA 55 57 NA NA
NA 35 57 NA NA
NA 31 57 NA NA
NA 119 68 NA NA
NA 138 5 NA NA
NA 147 19 NA NA
NA 40 57 NA NA
NA 156 80 NA NA
NA 31 57 NA NA
NA 164 49 NA NA
NA 80 47 NA NA
NA 138 5 NA NA
NA 118 68 NA NA
NA 51 57 NA NA
NA 38 57 NA NA
NA 18 57 NA NA
